size,count
12630,2
12641,1
12649,1
12652,3
12654,1
12663,3
12678,1
12681,3
12682,3
12688,2
12696,1
12739,1
12743,1
12776,1
12821,1
12846,1
12856,1
12866,1
12877,3
12895,1
12929,1
12947,3
12951,1
12958,1
12960,1
12980,5
12999,1
13001,1
13009,1
13035,1
13117,3
13134,1
13146,1
13154,1
13184,5
13206,1
13211,1
13213,1
13215,1
13233,1
13239,1
13258,1
13262,3
13282,3
13348,1
13383,1
13402,3
13407,3
13414,2
13438,1
13440,3
13453,1
13464,3
13474,1
13489,1
13490,1
13505,1
13509,1
13511,1
13547,3
13556,1
13560,2
13565,1
13587,4
13618,1
13639,1
13709,1
13714,1
13734,2
13743,5
13808,1
13815,1
13827,3
13833,1
13850,1
13869,1
13884,5
13891,1
13898,1
13901,1
13915,1
13930,2
13931,1
13959,1
13960,1
13993,1
14022,3
14055,1
14058,1
14070,1
14074,1
14076,1
14078,2
14080,6
14090,1
14097,3
14119,1
14138,3
14144,1
14151,1
14153,1
14154,1
14159,1
14170,1
14183,2
14185,1
14233,1
14241,1
14255,1
14257,3
14258,1
14295,1
14311,3
14384,1
14388,1
14409,1
14417,3
14435,1
14482,3
14484,1
14497,3
14509,1
14524,1
14538,1
14577,5
14580,1
14581,1
14586,1
14597,3
14602,3
14610,1
14633,2
14655,2
14668,2
14678,2
14702,3
14729,1
14758,1
14762,3
14784,1
14804,1
14814,1
14817,3
14821,1
14832,4
14846,1
14853,2
14867,3
14877,3
14889,1
14902,3
14908,1
14925,3
14943,1
14956,1
14986,4
14992,3
15010,1
15028,1
15036,1
15061,1
15094,1
15097,3
15101,1
15108,1
15121,1
15134,1
15145,1
15188,1
15203,1
15211,1
15218,1
15248,1
15252,3
15257,4
15264,1
15271,1
15290,1
15296,1
15301,1
15340,1
15372,3
15385,1
15392,3
15396,1
15400,1
15404,1
15420,1
15473,1
15494,1
15500,2
15510,1
15532,3
15570,1
15642,3
15672,3
15673,1
15674,1
15693,1
15700,1
15702,3
15745,1
15766,1
15773,1
15786,2
15787,3
15806,1
15820,1
15828,3
15839,1
15845,1
15846,3
15852,3
15856,1
15874,1
15915,1
15930,1
15962,3
15982,3
15999,1
16017,3
16026,1
16028,2
16029,2
16032,3
16040,2
16046,3
16066,1
16073,1
16078,1
16092,3
16093,1
16099,1
16113,4
16149,1
16151,1
16162,3
16171,1
16186,2
16199,1
16203,1
16205,1
16249,1
16275,1
16299,1
16307,3
16314,1
16318,3
16343,1
16347,3
16359,2
16398,1
16404,1
16410,1
16438,1
16496,2
16565,2
16582,3
16586,1
16588,1
16598,1
16630,3
16633,1
16635,1
16656,3
16675,2
16681,2
16702,3
16722,3
16730,1
16742,3
16743,1
16749,1
16756,1
16762,3
16771,1
16786,1
16794,1
16801,1
16812,3
16833,1
16891,1
16894,1
16896,3
16931,1
16934,2
16957,3
16964,1
16990,1
16997,3
17006,4
17018,2
17057,3
17096,1
17101,3
17112,3
17113,1
17115,1
17125,1
17129,1
17131,1
17132,3
17164,1
17199,1
17205,1
17208,1
17214,1
17217,3
17218,1
17237,3
17238,3
17244,3
17306,1
17324,1
17332,3
17338,1
17365,3
17372,4
17375,2
17383,1
17396,3
17408,3
17420,1
17437,3
17471,1
17490,1
17499,1
17502,3
17531,2
17544,1
17569,1
17573,1
17574,1
17579,1
17594,1
17595,1
17596,1
17613,1
17679,1
17730,3
17738,1
17744,1
17745,1
17747,3
17756,1
17778,1
17780,2
17806,1
17826,1
17835,1
17871,1
17882,3
17886,1
17888,1
17902,3
17903,1
17909,1
17925,1
17933,1
17949,2
17969,1
17971,1
17974,1
17978,1
18004,1
18020,3
18046,1
18074,1
18077,3
18082,3
18117,3
18133,1
18147,3
18182,3
18187,3
18198,1
18208,1
18228,1
18232,3
18260,1
18265,3
18269,1
18284,1
18289,1
18294,1
18306,1
18319,1
18323,3
18332,3
18340,1
18365,1
